"question_id","topic","subtopic","question","answer","keywords"
"11","Biến chứng của ĐTĐ","","Biến chứng võng mạc đái tháo đường là gì?","Biến chứng võng mạc đái tháo đường** là khi các mạch máu nhỏ ở mắt bị tổn thương do **đường huyết cao** lâu ngày, gây giảm thị lực. - Ảnh hưởng **chăm sóc răng miệng**: Thị lực kém có thể làm bạn khó vệ sinh răng miệng hiệu quả. - Điều trị nha khoa: Người có thị lực kém cần sự hỗ trợ đặc biệt khi **khám răng**. 👉 Tóm lại, kiểm soát **đường huyết** tốt giúp bảo vệ đôi mắt và duy trì chất lượng cuộc sống.","biến chứng võng mạc đtđ; võng mạc đái tháo đường; bệnh mắt đtđ; tổn thương mắt đtđ; võng mạc tiểu đường; nhìn mờ đtđ"
"12","Biến chứng của ĐTĐ","","Bệnh thận đái tháo đường là gì?","Bệnh thận đái tháo đường** là tình trạng thận bị tổn thương do **đường huyết cao** kéo dài, khiến thận làm việc kém hiệu quả. - Ảnh hưởng đến **điều trị nha khoa**: Bệnh thận có thể ảnh hưởng đến việc dùng thuốc và khả năng đông máu khi **nhổ răng** hay các thủ thuật khác. - Sức khỏe tổng thể: Tình trạng này cần sự theo dõi chặt chẽ của bác sĩ. 👉 Tóm lại, bảo vệ thận là yếu tố quan trọng để duy trì sức khỏe tổng thể và nha khoa.","bệnh thận đái tháo đường; thận đtđ; suy thận đtđ; thận yếu đtđ; tổn thương thận đtđ; biến chứng thận tiểu đường"
"13","Biến chứng của ĐTĐ","","Bệnh thần kinh đái tháo đường là gì?","Bệnh thần kinh đái tháo đường** là tổn thương dây thần kinh do **đường huyết cao**, gây tê bì, đau rát hoặc mất cảm giác, đặc biệt ở tay chân. - Trong miệng: Có thể gây **tê bì** ở nướu, lưỡi, làm bạn khó nhận biết **vấn đề răng miệng** sớm. - Vệ sinh răng miệng: Gây khó khăn khi cầm bàn chải, vệ sinh răng miệng. 👉 Tóm lại, việc nhận biết và kiểm soát tốt **đường huyết** giúp bảo vệ thần kinh và tránh các biến chứng.","bệnh thần kinh đái tháo đường; thần kinh đtđ; biến chứng thần kinh đtđ; tê bì đtđ; tổn thương thần kinh đtđ; bệnh thần kinh ngoại biên đtđ"
"14","Biến chứng của ĐTĐ","","Biến chứng tim mạch ở bệnh nhân đái tháo đường là gì?","Biến chứng tim mạch** ở người **tiểu đường** bao gồm các bệnh về tim (nhồi máu cơ tim) và mạch máu não (đột quỵ), nguy hiểm hơn người bình thường. - Trước **khám răng**: Hãy thông báo cho nha sĩ về tình trạng tim mạch để đảm bảo an toàn trong quá trình điều trị. - **Viêm nha chu**: Có mối liên hệ với bệnh tim mạch, cần điều trị dứt điểm. 👉 Tóm lại, duy trì sức khỏe tim mạch tốt là chìa khóa để có một cuộc sống khỏe mạnh, bao gồm cả sức khỏe răng miệng.","biến chứng tim mạch đtđ; tim mạch đái tháo đường; bệnh tim đtđ; vấn đề tim mạch đtđ; nhồi máu cơ tim đtđ; đột quỵ đtđ"
"15","Biến chứng của ĐTĐ","","Bệnh mạch máu ngoại biên là gì?","Bệnh mạch máu ngoại biên** là tình trạng các mạch máu ở chân bị hẹp hoặc tắc, gây đau khi đi lại, loét chân, và **hoại tử**. - Ảnh hưởng **nướu răng**: Tuần hoàn máu kém có thể làm **nướu răng** yếu hơn, dễ bị **viêm nhiễm** và khó lành vết thương sau **nhổ răng**. - Thông tin quan trọng: Cần chia sẻ thông tin này với **nha sĩ** để được tư vấn điều trị phù hợp. 👉 Tóm lại, kiểm soát tốt **đường huyết** giúp giảm nguy cơ mắc bệnh này và bảo vệ sức khỏe tổng thể.","bệnh mạch máu ngoại biên; mạch máu ngoại biên; tắc mạch ngoại biên; mạch máu chân tay; biến chứng mạch máu đtđ; mạch máu ngoại vi"
"16","Biến chứng của ĐTĐ","","Bàn chân đái tháo đường là gì?","Bàn chân đái tháo đường** là tình trạng chân bị loét hoặc nhiễm trùng nghiêm trọng ở người **tiểu đường**. Điều này xảy ra khi **thần kinh** và **mạch máu** ở chân bị tổn thương do đường huyết cao kéo dài. - **Mất cảm giác**: Dễ bị thương mà không hay biết. - **Lâu lành**: Vết thương khó lành và dễ nhiễm trùng. 👉 Tóm lại, đây là biến chứng nguy hiểm cần chăm sóc và theo dõi chân cẩn thận.","bàn chân đái tháo đường; chân đtđ; loét chân đtđ; biến chứng chân đtđ; nhiễm trùng chân đtđ; bệnh bàn chân đtđ"
"17","Biến chứng của ĐTĐ","","Biến chứng răng miệng mạn tính ở bệnh nhân đái tháo đường là gì?","Biến chứng răng miệng mạn tính ở người tiểu đường** là những vấn đề về răng miệng diễn ra dai dẳng và nặng hơn nếu đường huyết không ổn định. Chúng bao gồm **viêm nướu, sâu răng** và các tình trạng khó chịu khác. - **Viêm nha chu**: Nướu và xương quanh răng bị tổn thương nặng. - **Khô miệng**: Tăng nguy cơ sâu răng và nhiễm nấm. 👉 Tóm lại, kiểm soát đường huyết tốt giúp bảo vệ răng miệng của bạn.","biến chứng răng miệng; bệnh nha chu; viêm quanh răng; khô miệng; nấm miệng; sâu răng; nhiễm trùng răng; răng miệng tiểu đường"
"18","Biến chứng của ĐTĐ","","Vì sao đái tháo đường gây biến chứng mắt?","Biến chứng mắt ở người tiểu đường** là khi **đường huyết cao** làm hỏng các mạch máu nhỏ ở mắt, đặc biệt là ở võng mạc. Điều này có thể gây **mờ mắt, giảm thị lực**, thậm chí dẫn đến mù lòa nếu không được điều trị. - **Tổn thương mạch máu**: Làm rò rỉ dịch và xuất huyết. - **Võng mạc bị ảnh hưởng**: Phần quan trọng giúp bạn nhìn rõ. 👉 Tóm lại, kiểm soát đường huyết giúp bảo vệ đôi mắt khỏi nguy cơ mất thị lực.","biến chứng mắt; mắt tiểu đường; võng mạc tiểu đường; bệnh võng mạc; đục thủy tinh thể; tăng nhãn áp; nhìn mờ"
"19","Biến chứng của ĐTĐ","","Vì sao đái tháo đường gây biến chứng thận?","Biến chứng thận ở người tiểu đường** là khi thận bị hư hại do **đường huyết cao** kéo dài, khiến chức năng lọc máu suy giảm. Thận không còn có thể loại bỏ chất thải tốt, dẫn đến các vấn đề sức khỏe nghiêm trọng. - **Mạch máu nhỏ bị tổn thương**: Ảnh hưởng đến khả năng lọc của thận. - **Suy thận mạn tính**: Có thể cần lọc máu hoặc ghép thận. 👉 Tóm lại, bảo vệ thận bằng cách giữ đường huyết trong giới hạn cho phép.","biến chứng thận; thận tiểu đường; bệnh thận mạn; suy thận; protein niệu; cầu thận tiểu đường"
"20","Biến chứng của ĐTĐ","","Vì sao đái tháo đường gây biến chứng thần kinh?","Biến chứng thần kinh ở người tiểu đường** là tình trạng các **dây thần kinh** trong cơ thể bị tổn thương do **đường huyết cao** liên tục. Điều này có thể gây **tê bì, đau nhức** hoặc mất cảm giác ở tay, chân, và các bộ phận khác. - **Tổn thương vỏ bọc thần kinh**: Giống như dây điện bị hỏng vỏ. - **Giảm lưu thông máu**: Mạch máu nuôi thần kinh cũng bị ảnh hưởng. 👉 Tóm lại, kiểm soát đường huyết giúp bảo vệ hệ thần kinh của bạn khỏe mạnh.","biến chứng thần kinh; thần kinh tiểu đường; bệnh thần kinh; tê bì chân tay; đau thần kinh; thần kinh ngoại biên"
"21","Biến chứng của ĐTĐ","","Vì sao đái tháo đường làm tăng nguy cơ tim mạch?","Nguy cơ tim mạch ở người tiểu đường** là việc bệnh **đái tháo đường** khiến các mạch máu bị cứng và hẹp nhanh hơn (xơ vữa động mạch). Điều này làm tăng đáng kể nguy cơ bị **đau tim** hoặc **đột quỵ**. - **Xơ vữa động mạch**: Mạch máu bị tắc nghẽn. - **Huyết áp và mỡ máu cao**: Các yếu tố nguy cơ khác cũng thường đi kèm. 👉 Tóm lại, kiểm soát đường huyết giúp bảo vệ trái tim và mạch máu của bạn.","biến chứng tim mạch; bệnh tim; đột quỵ; nhồi máu cơ tim; xơ vữa động mạch; huyết áp cao; cholesterol; tim mạch tiểu đường"
"22","Biến chứng của ĐTĐ","","Tại sao người bệnh dễ bị loét chân?","Loét chân ở người tiểu đường** là tình trạng vết thương ở chân rất khó lành, thường gặp ở người **tiểu đường**. Nguyên nhân chính là do **mất cảm giác** ở chân và **tuần hoàn máu kém**, khiến vết thương dễ bị nhiễm trùng. - **Mất cảm giác**: Không cảm nhận được vết thương nhỏ. - **Tuần hoàn máu kém**: Vết thương không được cung cấp đủ dinh dưỡng để lành. 👉 Tóm lại, cần kiểm tra chân mỗi ngày để phát hiện sớm vết thương.","loét chân; bàn chân tiểu đường; vết thương chân; nhiễm trùng chân; biến chứng bàn chân; loét bàn chân; chân tiểu đường"
"23","Biến chứng của ĐTĐ","","Đái tháo đường ảnh hưởng thế nào đến sức khỏe răng miệng?","Đái tháo đường và răng miệng** là bệnh tiểu đường làm tăng nguy cơ mắc các vấn đề về **răng và nướu**. Nó có thể khiến bạn dễ bị **viêm nướu, sâu răng** và các vấn đề khác như khô miệng, nhiễm nấm. - **Viêm nha chu nặng hơn**: Nướu và xương quanh răng bị tổn thương. - **Lành thương chậm**: Sau khi nhổ răng hoặc điều trị nha khoa. 👉 Tóm lại, kiểm soát đường huyết là chìa khóa để có một hàm răng khỏe mạnh.","sức khỏe răng miệng; ảnh hưởng răng miệng; bệnh nha chu; viêm nướu; sâu răng; khô miệng; nấm miệng; nhiễm trùng miệng; răng miệng tiểu đường"
"24","Biến chứng của ĐTĐ","","Hạ đường huyết có thể phòng ngừa như thế nào?","Phòng ngừa hạ đường huyết** là các biện pháp để tránh tình trạng **đường huyết xuống quá thấp**, gây mệt mỏi, run rẩy, thậm chí ngất xỉu. Bạn có thể phòng ngừa bằng cách **tuân thủ thuốc**, ăn uống đúng giờ và **theo dõi đường huyết** đều đặn. - **Ăn uống đều đặn**: Không bỏ bữa và ăn nhẹ khi cần. - **Dùng thuốc đúng liều**: Tuyệt đối không tự ý điều chỉnh. 👉 Tóm lại, hãy luôn chú ý chế độ ăn uống và thuốc men để giữ đường huyết ổn định.","hạ đường huyết; phòng ngừa hạ đường huyết; tránh tụt đường; kiểm soát đường huyết; dinh dưỡng tiểu đường; đường huyết thấp"
"25","Biến chứng của ĐTĐ","","Nhiễm toan ceton có thể phòng tránh được không?","Phòng tránh nhiễm toan ceton** là việc bạn có thể ngăn ngừa tình trạng **nguy hiểm** này bằng cách **kiểm soát đường huyết** và dùng thuốc đúng cách. Nhiễm toan ceton là biến chứng cấp tính khi cơ thể thiếu insulin trầm trọng, tạo ra quá nhiều axit gây nguy hiểm tính mạng. - **Tiêm insulin đúng liều**: Không bỏ liều insulin. - **Kiểm soát đường huyết**: Đặc biệt khi bị bệnh hoặc nhiễm trùng. 👉 Tóm lại, tuân thủ điều trị và uống đủ nước là cách tốt nhất để tránh nhiễm toan ceton.","nhiễm toan ceton; toan ceton; phòng ngừa toan ceton; DKA; biến chứng cấp; kiểm soát đường huyết; dấu hiệu keton"
"26","Biến chứng của ĐTĐ","","Làm sao phòng ngừa biến chứng mạn tính của đái tháo đường?","Phòng ngừa biến chứng tiểu đường** là việc thực hiện các thói quen tốt để tránh các vấn đề sức khỏe lâu dài do **đái tháo đường**. Điều này bao gồm **kiểm soát đường huyết**, huyết áp, mỡ máu, cùng với lối sống lành mạnh. - **Chế độ ăn và tập luyện**: Ăn uống cân bằng và vận động thường xuyên. - **Khám sức khỏe định kỳ**: Để phát hiện sớm các dấu hiệu bất thường. 👉 Tóm lại, lối sống khoa học và kiểm soát chỉ số là chìa khóa để sống khỏe với tiểu đường.","phòng ngừa biến chứng; biến chứng mạn tính; kiểm soát tiểu đường; lối sống lành mạnh; điều trị tiểu đường; theo dõi đường huyết; khám định kỳ; dinh dưỡng; vận động"
"27","Biến chứng của ĐTĐ","","Khám răng miệng định kỳ quan trọng thế nào ở bệnh nhân đái tháo đường?","Khám răng miệng định kỳ** là việc rất cần thiết để **người tiểu đường** bảo vệ sức khỏe răng miệng và toàn thân. Nó giúp phát hiện sớm các vấn đề như **viêm nướu, sâu răng** và ngăn ngừa nhiễm trùng lan rộng. - **Phát hiện sớm**: Tránh các biến chứng nặng hơn. - **Ngăn ngừa nhiễm trùng**: Viêm nhiễm ở miệng có thể ảnh hưởng đến đường huyết. 👉 Tóm lại, đừng quên khám răng định kỳ để duy trì nụ cười và sức khỏe tổng thể.","khám răng miệng định kỳ; chăm sóc răng miệng; đái tháo đường răng; biến chứng răng miệng; vệ sinh răng miệng ĐTĐ; nha khoa ĐTĐ; tầm soát răng miệng"
"28","Biến chứng của ĐTĐ","","Tại sao kiểm soát mỡ máu quan trọng trong phòng ngừa biến chứng?","Kiểm soát mỡ máu** là việc giữ mức **chất béo trong máu** ở mức ổn định, đặc biệt quan trọng với người **tiểu đường**. Mỡ máu cao làm tăng nguy cơ **xơ vữa động mạch**, dẫn đến các bệnh tim mạch và đột quỵ. - **Giảm nguy cơ tim mạch**: Bảo vệ trái tim khỏi các biến cố. - **Mạch máu khỏe mạnh**: Giúp máu lưu thông tốt khắp cơ thể. 👉 Tóm lại, mỡ máu ổn định giúp giảm gánh nặng cho hệ tim mạch của bạn.","kiểm soát mỡ máu; lipid máu; biến chứng mạch máu; phòng ngừa biến chứng; mỡ máu cao; cholesterol; triglyceride"
"29","Biến chứng của ĐTĐ","","Đường huyết cao ảnh hưởng đến lành thương như thế nào?","Đường huyết cao và lành thương** là khi **đường huyết cao** khiến các vết thương trên cơ thể bạn lâu lành hơn bình thường. Điều này xảy ra vì đường huyết cao làm **suy yếu hệ miễn dịch** và cản trở quá trình tái tạo da, tăng nguy cơ nhiễm trùng. - **Hệ miễn dịch yếu**: Khó chống lại vi khuẩn. - **Tái tạo mô chậm**: Vết thương khó đóng miệng và phục hồi. 👉 Tóm lại, giữ đường huyết ổn định là yếu tố quan trọng để vết thương mau lành.","đường huyết cao; lành thương; vết thương lâu lành; glucose máu; hồi phục vết thương; chậm lành vết thương; biến chứng vết thương"
"30","Biến chứng của ĐTĐ","","Tại sao bệnh nhân đái tháo đường dễ bị nhiễm trùng?","Dễ nhiễm trùng ở người tiểu đường** là tình trạng người **tiểu đường** dễ mắc các bệnh nhiễm trùng hơn người bình thường. Điều này là do **đường huyết cao** làm suy yếu khả năng chống lại vi khuẩn và nấm của hệ miễn dịch. - **Bạch cầu kém hiệu quả**: Các tế bào bảo vệ cơ thể hoạt động không tốt. - **Môi trường thuận lợi**: Đường huyết cao tạo điều kiện cho vi khuẩn phát triển. 👉 Tóm lại, kiểm soát đường huyết tốt giúp tăng cường sức đề kháng cho cơ thể.","dễ nhiễm trùng; miễn dịch suy giảm; đề kháng yếu; đường huyết cao; nhiễm trùng đái tháo đường; sức đề kháng"
"31","Biến chứng của ĐTĐ","","Điều gì xảy ra nếu không điều trị biến chứng mắt?","Biến chứng mắt** là tình trạng tổn thương mắt. Nếu không điều trị, **biến chứng mắt** có thể làm bạn mất thị lực vĩnh viễn, do chảy máu trong mắt, võng mạc bị tách ra, hoặc áp lực trong mắt tăng cao. - Mất thị lực vĩnh viễn - Cần điều trị kịp thời 👉 Tóm lại, không điều trị biến chứng mắt có thể gây mất thị lực hoàn toàn.","biến chứng mắt; võng mạc; mù lòa; đục thủy tinh thể; bệnh võng mạc; mất thị lực; thoái hóa điểm vàng"
"32","Biến chứng của ĐTĐ","","Điều gì xảy ra nếu không điều trị biến chứng thận?","Biến chứng thận** là tình trạng thận bị tổn thương. Nếu không điều trị, **biến chứng thận** có thể dẫn đến suy thận nặng, khi đó bạn sẽ cần lọc máu hoặc ghép thận để duy trì sự sống. - Suy thận tiến triển - Cần lọc máu hoặc ghép thận 👉 Tóm lại, không điều trị biến chứng thận có thể dẫn đến suy thận, cần lọc máu hoặc ghép thận.","biến chứng thận; suy thận; lọc máu; chạy thận; bệnh thận mạn; tiểu đạm; protein niệu"
"33","Biến chứng của ĐTĐ","","Điều gì xảy ra nếu không điều trị biến chứng thần kinh?","Biến chứng thần kinh** là tình trạng tổn thương các dây thần kinh. Nếu không điều trị, bạn có thể mất cảm giác hoàn toàn ở tay chân, dễ bị loét, nhiễm trùng, thậm chí hoại tử và phải cắt bỏ chi. - Mất cảm giác - Nguy cơ loét, nhiễm trùng, cắt bỏ chi 👉 Tóm lại, không điều trị biến chứng thần kinh có thể gây mất cảm giác và nguy cơ cắt bỏ chi.","biến chứng thần kinh; bệnh thần kinh; tê bì chân tay; mất cảm giác; đau thần kinh; thần kinh ngoại biên; biến chứng bàn chân"
"34","Biến chứng của ĐTĐ","","Vì sao bàn chân đái tháo đường khó điều trị?","Bàn chân đái tháo đường** là tình trạng bàn chân ở người **tiểu đường** khó lành. **Bàn chân đái tháo đường** khó điều trị vì vừa có tổn thương thần kinh, vừa thiếu máu nuôi dưỡng, cộng với đường huyết cao làm vết thương lâu lành và dễ nhiễm trùng. - Tổn thương thần kinh, thiếu máu - Đường huyết cao làm vết thương lâu lành 👉 Tóm lại, bàn chân đái tháo đường khó lành do tổn thương thần kinh, thiếu máu và đường huyết cao.","bàn chân ĐTĐ; loét bàn chân; nhiễm trùng bàn chân; cắt cụt chi; khó lành vết thương; biến chứng bàn chân; biến chứng thần kinh mạch"
"35","Biến chứng của ĐTĐ","","Thói quen nào giúp giảm nguy cơ biến chứng răng miệng?","Giảm biến chứng răng miệng** là các cách để bảo vệ răng miệng. Để **giảm biến chứng răng miệng**, bạn nên đánh răng đúng cách 2 lần/ngày, dùng chỉ nha khoa, khám răng định kỳ, kiểm soát tốt đường huyết và không hút thuốc lá. - Vệ sinh răng miệng kỹ - Khám răng định kỳ, kiểm soát đường huyết 👉 Tóm lại, vệ sinh răng miệng tốt, khám răng định kỳ và kiểm soát đường huyết giúp giảm biến chứng.","thói quen răng miệng; vệ sinh răng miệng; chăm sóc răng; ngừa biến chứng răng; phòng bệnh răng miệng; chảy máu chân răng; viêm nướu"
"36","Hôi miệng","","Hôi miệng là gì?","Hôi miệng** là tình trạng hơi thở có mùi khó chịu. **Hôi miệng** thường do vi khuẩn tích tụ trong khoang miệng phân hủy thức ăn, tạo ra các chất gây mùi. - Do vi khuẩn trong miệng - Gây mùi khó chịu 👉 Tóm lại, hôi miệng là khi hơi thở có mùi do vi khuẩn trong miệng.","hôi miệng là gì; hơi thở có mùi; định nghĩa hôi miệng; hiểu hôi miệng; mùi hôi miệng"
"37","Hôi miệng","","Nguyên nhân phổ biến gây hôi miệng là gì?","Nguyên nhân hôi miệng** là những lý do khiến hơi thở có mùi. Các **nguyên nhân hôi miệng** phổ biến gồm vệ sinh răng miệng kém, sâu răng, viêm nướu, khô miệng, ăn thức ăn nặng mùi và nhiễm trùng. - Vệ sinh kém, bệnh răng miệng - Khô miệng, thực phẩm 👉 Tóm lại, hôi miệng chủ yếu do vệ sinh kém, bệnh răng miệng, khô miệng hoặc thực phẩm.","nguyên nhân hôi miệng; hôi miệng do đâu; lý do hôi miệng; yếu tố gây hôi miệng; nguyên nhân phổ biến; bệnh răng miệng; vệ sinh kém"
"38","Hôi miệng","","Người bệnh đái tháo đường có dễ bị hôi miệng không?","Hôi miệng ở người đái tháo đường** là hơi thở có mùi khó chịu ở người **tiểu đường**. Người **đái tháo đường** dễ bị **hôi miệng** hơn do tình trạng khô miệng, nhiễm nấm và các bệnh về nướu (nha chu) thường gặp ở họ. - Khô miệng, nhiễm nấm - Bệnh nha chu (nướu) 👉 Tóm lại, người tiểu đường dễ bị hôi miệng do khô miệng, nấm miệng và bệnh nướu.","đái tháo đường hôi miệng; người tiểu đường; dễ bị hôi miệng; nguy cơ hôi miệng; bệnh nhân tiểu đường"
"39","Hôi miệng","","Vì sao khô miệng gây hôi miệng?","Khô miệng gây hôi miệng** là lý do tình trạng khô miệng làm hơi thở có mùi. **Khô miệng** làm giảm nước bọt, mà nước bọt giúp rửa trôi vi khuẩn và mảnh thức ăn. Khi ít nước bọt, vi khuẩn phát triển mạnh và tạo mùi khó chịu, gây ra **hôi miệng**. - Ít nước bọt - Vi khuẩn phát triển mạnh 👉 Tóm lại, khô miệng làm giảm nước bọt, giúp vi khuẩn sinh sôi và gây hôi miệng.","khô miệng; hôi miệng do khô miệng; lý do khô miệng; nước bọt; giảm nước bọt; ảnh hưởng khô miệng"
"40","Hôi miệng","","Nhiễm nấm Candida có gây hôi miệng không?","Nhiễm nấm Candida gây hôi miệng** là tình trạng nấm miệng khiến hơi thở có mùi. **Nhiễm nấm Candida** trong miệng tạo ra các hợp chất mùi và làm viêm niêm mạc, khiến hơi thở có mùi hôi hoặc chua khó chịu. - Tạo hợp chất mùi - Gây viêm niêm mạc miệng 👉 Tóm lại, nhiễm nấm Candida tạo mùi và gây viêm, làm hơi thở hôi hoặc chua.","nấm Candida; hôi miệng do nấm; nhiễm nấm miệng; nấm miệng; Candida miệng; nấm hôi miệng"
