"question_id","topic","subtopic","question","answer","keywords"
"11"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Khi nào bệnh nha chu được coi là liên quan bệnh toàn thân?","Bệnh nha chu liên quan bệnh toàn thân** là khi bệnh nha chu bị ảnh hưởng trực tiếp bởi một tình trạng sức khỏe tổng thể. Xảy ra khi có bằng chứng liên quan trực tiếp đến các **bệnh hệ thống**, ví dụ như **đái tháo đường**, **bệnh bạch cầu**, hoặc **hội chứng Down**. - Bệnh toàn thân có thể làm nặng thêm bệnh nha chu. - Cần phối hợp điều trị giữa nha sĩ và bác sĩ y khoa. 👉 Tóm lại, khi bệnh nha chu là biểu hiện hoặc bị tác động bởi bệnh lý toàn thân.","bệnh nha chu; bệnh toàn thân; liên quan bệnh; đái tháo đường; bệnh tim mạch; viêm khớp; thai kỳ; hô hấp"
"12"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Một số bệnh toàn thân ảnh hưởng tới mô nha chu là gì?","Bệnh toàn thân ảnh hưởng nha chu** là các bệnh lý hệ thống có tác động tiêu cực đến sức khỏe mô nha chu. Bao gồm các tình trạng di truyền hoặc rối loạn miễn dịch như **Hội chứng Papillon-Lefèvre**, **giảm bám dính bạch cầu**, và các **rối loạn miễn dịch bẩm sinh**. - Gây ra dạng viêm nha chu khởi phát sớm, tiến triển nhanh. - Đòi hỏi quản lý phức tạp. 👉 Tóm lại, một số bệnh toàn thân gây ra các dạng viêm nha chu đặc biệt.","Bệnh toàn thân; Ảnh hưởng nha chu; Yếu tố hệ thống nha chu; Hội chứng Papillon-Lefèvre; Giảm bám dính bạch cầu; Rối loạn miễn dịch; Suy giảm miễn dịch bẩm sinh; Bệnh hệ thống nha chu"
"13"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Áp xe nha chu có biểu hiện lâm sàng thế nào?","Áp xe nha chu** là một ổ mủ khu trú trong mô nha chu. Biểu hiện lâm sàng đặc trưng là **sưng**, **đau**, **đỏ** tại vùng nướu và có thể thấy **lỗ dò mủ**. - Cần điều trị khẩn cấp để dẫn lưu mủ. - Tránh nguy cơ nhiễm trùng lan rộng. 👉 Tóm lại, tình trạng nhiễm trùng cấp tính cần được xử lý kịp thời.","Áp xe nha chu; biểu hiện áp xe; triệu chứng áp xe; dấu hiệu lâm sàng; áp xe lợi; sưng nướu; đau nướu; lỗ dò mủ"
"14"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Sang thương nội nha – nha chu là gì?","Sang thương nội nha – nha chu** là một tổn thương có liên quan đến cả hệ thống nội nha và nha chu. Tình trạng này có thể bắt nguồn từ **bệnh nội nha** ảnh hưởng đến mô nha chu, hoặc **bệnh nha chu** ảnh hưởng đến tủy răng, hoặc là sự **phối hợp** của cả hai. - Chẩn đoán phức tạp do triệu chứng chồng chéo. - Cần điều trị tích hợp từ hai chuyên khoa. 👉 Tóm lại, tổn thương phức tạp đòi hỏi chẩn đoán và điều trị phối hợp.","sang thương nội nha; sang thương nha chu; tổn thương kết hợp; tủy hoại tử; túi nha chu; đường dò; chẩn đoán khó"
"15"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Khiếm khuyết niêm mạc nướu quanh răng gồm những gì?","Khiếm khuyết niêm mạc nướu quanh răng** là những bất thường về hình thái hoặc thể tích của mô mềm quanh răng. Bao gồm **tụt nướu** (gingival recession), tình trạng **mỏng nướu** (thin gingival biotype), và các **bất thường** khác về **hình thái nướu** (gingival phenotype). - Ảnh hưởng đến thẩm mỹ và chức năng. - Tăng nguy cơ phát triển bệnh nha chu. 👉 Tóm lại, các bất thường mô mềm quanh răng cần được đánh giá và quản lý.","Khiếm khuyết nướu; tụt nướu; mỏng nướu; hình thái nướu; niêm mạc nướu; biotype nướu; mô nướu; thương tổn nướu"
"16"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Yếu tố liên quan răng và phục hình có thể ảnh hưởng nha chu là gì?","Yếu tố liên quan răng và phục hình** là những điều kiện **răng** và **phục hình** có thể gây hại hoặc làm trầm trọng thêm tình trạng **mô nha chu**. Các yếu tố này tạo môi trường thuận lợi cho sự tích tụ **mảng bám vi khuẩn**, gây viêm hoặc cản trở quá trình vệ sinh răng miệng. - **Mọc răng bất thường**: Gây khó vệ sinh, tạo túi nha chu giả. - **Phục hình kém chất lượng**: Viền phục hình quá dài, thừa vật liệu, chèn ép mô mềm. 👉 Tóm lại, việc đánh giá kỹ lưỡng các yếu tố này là cần thiết để duy trì sức khỏe nha chu.","Nha chu; yếu tố nha chu; phục hình nha chu; sang chấn khớp cắn; mọc răng bất thường; lưu mảng bám; chèn ép mô"
"17"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Mô quanh implant lành mạnh có đặc điểm gì?","Mô quanh implant lành mạnh** là tình trạng các mô **mềm** và **cứng** xung quanh implant ở trạng thái không có bệnh lý. Được đặc trưng bởi sự ổn định, không có dấu hiệu viêm nhiễm, đảm bảo sự **tích hợp xương** và chức năng bền vững của implant. - **Không viêm, không chảy máu khi thăm khám**: Dấu hiệu lâm sàng quan trọng nhất. - **Không mất mô cứng/mô mềm**: Ổn định mức xương và mô mềm quanh implant. 👉 Tóm lại, duy trì vệ sinh tốt là chìa khóa cho sức khỏe mô quanh implant lâu dài.","mô quanh implant; implant khỏe mạnh; nướu quanh implant; không viêm; không chảy máu; săn chắc; bám dính implant"
"18"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Viêm niêm mạc quanh implant là gì?","Viêm niêm mạc quanh implant (Peri-implant mucositis)** là tình trạng viêm nhiễm **có hồi phục** giới hạn ở các mô mềm xung quanh implant. Đây là một dạng bệnh lý quanh implant sớm, tương tự như **viêm lợi** quanh răng tự nhiên, không kèm theo **tiêu xương** quanh implant. - **Giới hạn ở mô mềm**: Có dấu hiệu viêm như đỏ, sưng, chảy máu khi thăm khám. - **Không mất xương ổ implant**: Phân biệt với viêm nha chu quanh implant. 👉 Tóm lại, phát hiện sớm và điều trị kịp thời giúp ngăn ngừa tiến triển thành bệnh lý nghiêm trọng hơn.","Viêm quanh implant; Viêm niêm mạc implant; Bệnh lý quanh implant; Mô mềm quanh implant; Không mất xương; Tổn thương quanh implant; Biến chứng implant; Chẩn đoán quanh implant"
"19"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Viêm nha chu quanh implant (Peri-implantitis) là gì?","Viêm nha chu quanh implant (Peri-implantitis)** là tình trạng viêm nhiễm **có hồi phục hạn chế** gây mất mô cứng và mô mềm xung quanh implant. Được đặc trưng bởi **chảy máu/mủ** khi thăm khám, tăng độ sâu túi và **tiêu xương** quanh implant có thể quan sát được trên phim X-quang. - **Mất xương ổ implant**: Dấu hiệu chính trên X-quang, phân biệt với viêm niêm mạc. - **Chảy máu/mủ khi thăm khám**: Chỉ điểm của quá trình viêm hoạt động. 👉 Tóm lại, đây là bệnh lý nghiêm trọng, cần can thiệp điều trị toàn diện để bảo tồn implant.","Peri-implantitis; viêm nha chu quanh implant; viêm quanh implant; tiêu xương quanh implant; biến chứng implant; mất mô cứng implant; chảy máu quanh implant"
"20"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Các tình trạng mất mô quanh implant gồm những gì?","Mất mô quanh implant** là sự giảm thể tích hoặc chiều cao của các mô **mềm (lợi)** và/hoặc **cứng (xương ổ)** xung quanh implant. Tình trạng này có thể xuất phát từ nguyên nhân viêm nhiễm (ví dụ: **Peri-implantitis**) hoặc không viêm (ví dụ: **chấn thương, thiếu mô ban đầu**), gây ảnh hưởng đến cả **thẩm mỹ** và **chức năng** của phục hình. - **Mất mô cứng (xương)**: Giảm sự nâng đỡ implant, có thể nhìn thấy trên X-quang. - **Mất mô mềm (lợi)**: Gây lộ trụ implant, ảnh hưởng thẩm mỹ và dễ tích tụ mảng bám. 👉 Tóm lại, đánh giá kỹ lưỡng nguyên nhân giúp lựa chọn phương pháp điều trị phù hợp để khôi phục mô.","viêm quanh implant; viêm niêm mạc quanh implant; mất xương quanh implant; bệnh quanh implant; viêm quanh trụ implant"
"21"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Vì sao phân loại AAP 2017 quan trọng trong thực hành RHM?","Phân loại AAP 2017** là hệ thống phân loại bệnh **nha chu** và **quanh implant** cập nhật, được Hội Nha chu Hoa Kỳ (AAP) ban hành. Hệ thống này cung cấp một khung sườn chuẩn hóa để **chẩn đoán chính xác**, đánh giá **tiên lượng**, và xây dựng **kế hoạch điều trị cá nhân hóa** cho từng bệnh nhân dựa trên mức độ nghiêm trọng và tốc độ tiến triển của bệnh. - **Chẩn đoán chính xác**: Phân biệt các thể bệnh, giai đoạn (stage) và cấp độ (grade). - **Tiên lượng và kế hoạch điều trị**: Định hướng can thiệp phù hợp, từ không phẫu thuật đến phẫu thuật. 👉 Tóm lại, việc áp dụng AAP 2017 nâng cao hiệu quả điều trị và chất lượng chăm sóc bệnh nhân nha chu.","Phân loại AAP 2017; Tầm quan trọng phân loại; Chẩn đoán nha chu; Tiên lượng nha chu; Kế hoạch điều trị nha chu; Tiêu chí chẩn đoán; Hướng dẫn lâm sàng; Viêm nha chu"
"22"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Bệnh nhân có đái tháo đường kiểm soát kém thường thuộc grade nào của viêm nha chu?","Bệnh nhân đái tháo đường kiểm soát kém** là những người mắc bệnh **tiểu đường** có mức **đường huyết** không ổn định hoặc cao kéo dài. Theo phân loại **AAP 2017**, những bệnh nhân này thường được xếp vào **Grade C** trong viêm nha chu, vì yếu tố toàn thân này làm tăng **tốc độ tiến triển** của bệnh nha chu và nguy cơ mất răng. - **Grade C**: Đặc trưng bởi bằng chứng về tốc độ tiến triển nhanh và nguy cơ mất răng cao. - **Đái tháo đường không kiểm soát**: Yếu tố nguy cơ hệ thống chính ảnh hưởng nặng nề đến nha chu. 👉 Tóm lại, việc kiểm soát đường huyết là yếu tố then chốt trong quản lý viêm nha chu ở bệnh nhân tiểu đường.","viêm nha chu; đái tháo đường; phân độ nha chu; grade C; tiểu đường kém; bệnh nha chu; tiểu đường nha chu; nguy cơ nha chu"
"23"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Yếu tố nguy cơ chính làm tăng cấp độ tiến triển viêm nha chu là gì?","Yếu tố nguy cơ tăng cấp độ tiến triển viêm nha chu** là các điều kiện hoặc thói quen làm tăng nguy cơ bệnh **nha chu** tiến triển nhanh hơn và nghiêm trọng hơn. Các yếu tố này ảnh hưởng đến khả năng miễn dịch và sửa chữa của mô nha chu, dẫn đến sự phá hủy mô **xương** và **dây chằng nha chu** nhanh chóng hơn. - **Hút thuốc lá**: Làm suy giảm phản ứng miễn dịch và lành thương. - **Kiểm soát đường huyết kém**: Gây rối loạn chuyển hóa, tăng viêm toàn thân. 👉 Tóm lại, quản lý các yếu tố nguy cơ này là rất quan trọng để làm chậm quá trình tiến triển của bệnh nha chu.","yếu tố nguy cơ viêm nha chu; hút thuốc; đái tháo đường; vệ sinh răng miệng; mảng bám; vôi răng"
"24"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Việc xác định stage và grade ảnh hưởng thế nào tới kế hoạch điều trị?","Xác định Stage và Grade** là quá trình đánh giá **mức độ nghiêm trọng (Stage)** và **tốc độ tiến triển (Grade)** của bệnh nha chu theo phân loại AAP 2017. Việc này giúp bác sĩ nha khoa lập một **kế hoạch điều trị** toàn diện, từ các phương pháp không phẫu thuật đến phẫu thuật, đồng thời xác định **tiên lượng** và tần suất **tái khám** phù hợp để duy trì sức khỏe nha chu. - **Stage**: Định hướng mức độ can thiệp, ví dụ: lấy cao răng, điều trị nội nha, phẫu thuật. - **Grade**: Ảnh hưởng đến tiên lượng bệnh, yêu cầu tần suất tái khám và kiểm soát yếu tố nguy cơ. 👉 Tóm lại, chẩn đoán Stage và Grade là bước không thể thiếu để cá nhân hóa chiến lược điều trị nha chu hiệu quả.","Stage Grade nha chu; kế hoạch điều trị; phân loại nha chu; tiên lượng nha chu; phác đồ điều trị; quản lý nha chu; tái khám nha chu; ảnh hưởng Stage Grade"
"25"," Viêm nướu và Viêm nha chu
 Mất răng trầm trọng","","Vai trò của bác sĩ RHM khi áp dụng phân loại AAP 2017 là gì?","Vai trò của bác sĩ RHM với AAP 2017** là trách nhiệm của nha sĩ trong việc sử dụng hệ thống phân loại **AAP 2017** để quản lý bệnh nha chu và quanh implant. Bao gồm việc **chẩn đoán sớm**, phân loại bệnh nhân vào đúng **Stage** và **Grade**, từ đó đưa ra **kế hoạch điều trị** và **chiến lược theo dõi** phù hợp nhằm kiểm soát và ngăn ngừa sự tiến triển của bệnh. - **Chẩn đoán và phân loại chính xác**: Đảm bảo điều trị đúng hướng từ đầu. - **Điều trị và theo dõi**: Can thiệp kịp thời và tái đánh giá định kỳ để duy trì kết quả. 👉 Tóm lại, Bác sĩ RHM đóng vai trò chủ chốt trong việc áp dụng AAP 2017 để cải thiện sức khỏe răng miệng tổng thể.","AAP 2017; phân loại nha chu; vai trò BS RHM; chẩn đoán nha chu; điều trị nha chu; quản lý nha chu; tiêu chuẩn AAP; hướng dẫn AAP"
"26","Biến chứng của bệnh lí ĐTĐ","","Biến chứng cấp tính trong bệnh đái tháo đường là gì?","Biến chứng cấp tính trong đái tháo đường** là những tình trạng nguy hiểm xảy ra đột ngột ở người bệnh **tiểu đường**, có thể đe dọa tính mạng nếu không được cấp cứu kịp thời. Chúng bao gồm các tình trạng như **nhiễm toan ceton**, **hội chứng tăng áp lực thẩm thấu**, và **hạ đường huyết** nghiêm trọng, đòi hỏi sự nhận diện và can thiệp y tế khẩn cấp, kể cả trong môi trường phòng khám nha khoa. - **Nhiễm toan ceton/Tăng áp lực thẩm thấu**: Gây hôn mê do đường huyết quá cao. - **Hạ đường huyết**: Nguy hiểm không kém, có thể gây mất ý thức đột ngột. 👉 Tóm lại, bác sĩ nha khoa cần nhận biết các dấu hiệu này để có hành động cấp cứu kịp thời.","đái tháo đường; biến chứng cấp; nhiễm toan ceton; hạ đường huyết; tăng áp lực thẩm thấu; cấp cứu ĐTĐ; tiểu đường cấp tính; hôn mê đái tháo đường"
"27","Biến chứng của bệnh lí ĐTĐ","","Nhiễm toan ceton là gì và có biểu hiện ra sao?","Nhiễm toan ceton (Diabetic Ketoacidosis - DKA)** là biến chứng cấp tính nghiêm trọng do **thiếu insulin** tuyệt đối hoặc tương đối ở người tiểu đường, dẫn đến tích tụ **ceton** và toan hóa máu. Triệu chứng bao gồm **tiểu nhiều, khát nước, khô miệng**, thở nhanh sâu (Kussmaul), hơi thở có **mùi ceton** (mùi trái cây chín), đau bụng, buồn nôn, và thay đổi ý thức. - **Hơi thở mùi ceton**: Dấu hiệu đặc trưng có thể nhận biết. - **Mất nước, rối loạn ý thức**: Đòi hỏi cấp cứu ngay lập tức. 👉 Tóm lại, DKA là tình trạng khẩn cấp cần được chuyển viện ngay lập tức.","Nhiễm toan ceton; toan ceton; biến chứng ĐTĐ; triệu chứng nhiễm toan; thiếu insulin; hơi thở ceton; cấp cứu đái tháo đường; tăng ceton máu"
"28","Biến chứng của bệnh lí ĐTĐ","","Tại sao bác sĩ RHM cần nhận biết nhiễm toan ceton?","Nhận biết Nhiễm toan ceton trong RHM** là khả năng của bác sĩ nha khoa trong việc phát hiện các dấu hiệu lâm sàng của **nhiễm toan ceton** ở bệnh nhân. Bệnh nhân tiểu đường có thể đến phòng khám răng với các triệu chứng ban đầu của DKA, và việc nhận diện kịp thời giúp **ngừng điều trị nha khoa**, cung cấp **sơ cứu cơ bản**, và **chuyển cấp cứu** ngay lập tức để tránh các biến chứng nghiêm trọng như hôn mê hoặc tử vong. - **Phòng ngừa biến cố khẩn cấp**: Đảm bảo an toàn cho bệnh nhân trong phòng khám. - **Trách nhiệm y tế**: Cần phối hợp với đội ngũ y tế để xử lý. 👉 Tóm lại, nhận biết DKA là một kỹ năng quan trọng để bảo vệ tính mạng bệnh nhân tiểu đường.","nhiễm toan ceton; biến chứng ĐTĐ; cấp cứu ĐTĐ; DKA nhận biết; triệu chứng DKA; toan ceton nha khoa; quản lý DKA"
"29","Biến chứng của bệnh lí ĐTĐ","","Tăng áp lực thẩm thấu là gì?","Tăng áp lực thẩm thấu (Hyperosmolar Hyperglycemic State - HHS)** là một biến chứng cấp tính nghiêm trọng của bệnh **tiểu đường**, đặc trưng bởi **đường huyết tăng rất cao** và tình trạng **mất nước nặng**, thường không kèm theo nhiễm toan ceton. Thường gặp ở người lớn tuổi mắc tiểu đường týp 2, tình trạng này dẫn đến **rối loạn điện giải** và **rối loạn ý thức** nghiêm trọng do áp lực thẩm thấu máu tăng cao. - **Đường huyết rất cao**: Thường > 600 mg/dL, gây mất nước nặng. - **Rối loạn ý thức**: Từ lú lẫn nhẹ đến hôn mê sâu. 👉 Tóm lại, HHS là một tình trạng cấp cứu y tế, đòi hỏi phải được nhận biết và xử trí kịp thời.","tăng áp lực thẩm thấu; hội chứng tăng ALTT; hôn mê tăng ALTT; biến chứng ĐTĐ; đường huyết tăng; tăng glucose máu; mất nước nặng; rối loạn ý thức"
"30","Biến chứng của bệnh lí ĐTĐ","","Trong phòng khám RHM, tăng áp lực thẩm thấu có thể biểu hiện thế nào?","Biểu hiện Tăng áp lực thẩm thấu trong RHM** là các dấu hiệu lâm sàng của **hội chứng tăng áp lực thẩm thấu** mà bác sĩ nha khoa có thể quan sát được ở bệnh nhân trong phòng khám. Bệnh nhân có thể xuất hiện các biểu hiện như **lú lẫn, mất tập trung**, lờ đờ, hoặc **mất nước rõ rệt** (khô miệng, da khô). Khi nhận thấy những dấu hiệu này, cần **ngừng mọi can thiệp nha khoa** và **chuyển bệnh nhân đến cơ sở cấp cứu** gần nhất ngay lập tức. - **Thay đổi trạng thái ý thức**: Lú lẫn, lờ đờ, hôn mê. - **Dấu hiệu mất nước nặng**: Khô niêm mạc miệng, tụt huyết áp. 👉 Tóm lại, nhận biết sớm HHS là cực kỳ quan trọng để đảm bảo an toàn và cơ hội sống còn cho bệnh nhân.","Tăng áp lực thẩm thấu; biểu hiện thẩm thấu; biến chứng ĐTĐ; ĐTĐ phòng nha; lú lẫn ĐTĐ; mất nước ĐTĐ; cấp cứu ĐTĐ; hôn mê thẩm thấu"
"31","Biến chứng của bệnh lí ĐTĐ","","Hạ đường huyết là gì và nguyên nhân thường gặp?","Hạ đường huyết** là tình trạng đường huyết giảm xuống dưới ngưỡng an toàn (< 70 mg/dL). Thường do **insulin** hoặc **thuốc hạ đường huyết** quá liều, hoặc **bỏ bữa**, **gắng sức** quá mức. - Ngưỡng an toàn: Thường dưới 70 mg/dL (3.9 mmol/L). - Nguyên nhân phổ biến: Điều trị ĐTĐ không phù hợp, chế độ ăn uống/sinh hoạt không điều độ. 👉 Tóm lại, cần nhận biết sớm để xử trí kịp thời, tránh biến chứng thần kinh nghiêm trọng.","hạ đường huyết; nguyên nhân hạ đường huyết; đường huyết thấp; triệu chứng hạ đường huyết; xử trí hạ đường huyết; biến chứng cấp tính"
"32","Biến chứng của bệnh lí ĐTĐ","","Dấu hiệu hạ đường huyết mà bác sĩ RHM cần lưu ý là gì?","Dấu hiệu hạ đường huyết** là biểu hiện lâm sàng khi đường huyết xuống thấp. Ban đầu có thể là **đói**, **bồn chồn**, **vã mồ hôi**, **tim đập nhanh**, **hoa mắt**. Nặng hơn, bệnh nhân có thể **lú lẫn**, **co giật**, thậm chí **hôn mê**. - Nhận diện sớm: Quan trọng để can thiệp kịp thời tại phòng khám. - Phân biệt: Cần hỏi rõ tiền sử ĐTĐ và các triệu chứng liên quan. 👉 Tóm lại, bác sĩ nha khoa cần nhận diện các triệu chứng sớm để xử trí kịp thời tại phòng khám.","hạ đường huyết; dấu hiệu hạ đường; triệu chứng hạ đường; đường huyết thấp; biến cố đường huyết; khẩn cấp đường huyết; hôn mê đường huyết; co giật đường huyết"
