DEMUC,CHUDECON,MASO,CAUHOI,CAUTRALOI,GIAITHICH
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0011,Đái tháo đường type 1 xảy ra khi nào và vì sao?,"Xảy ra khi cơ thể khởi phát đáp ứng tự miễn chống lại tế bào beta; thời điểm khởi phát rất khác nhau, có thể sau nhiễm trùng hoặc không có yếu tố rõ ràng; di truyền và môi trường cùng tham gia.","Bệnh có thể xảy ra ở bất kỳ độ tuổi nào, nhưng thường gặp nhất ở trẻ em, thanh thiếu niên và người trẻ dưới 30 tuổi. Vì vậy, bệnh còn có tên gọi cũ là ""đái tháo đường vị thành niên"". Tuy nhiên, vẫn có những trường hợp bệnh khởi phát ở người lớn tuổi.
Bệnh xảy ra do một phản ứng tự miễn. Điều này có nghĩa là hệ miễn dịch của cơ thể, thay vì bảo vệ, lại tấn công nhầm và phá hủy các tế bào beta trong tuyến tụy. Các tế bào này là nơi duy nhất sản xuất insulin. Khi chúng bị phá hủy, cơ thể sẽ thiếu hụt insulin hoàn toàn, dẫn đến bệnh đái tháo đường type 1."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0012,Insulin có vai trò gì và tại sao thiếu ở bệnh nhân type 1?,"Insulin giúp đưa glucose vào tế bào và ức chế gan sản xuất glucose, đồng thời duy trì trạng thái đồng hóa; ở type 1, thiếu insulin do phá hủy tế bào beta khiến đường huyết tăng và cơ thể chuyển sang dị hóa mỡ, đạm.","Insulin là một hormone do tuyến tụy tiết ra, có vai trò như một ""người vận chuyển"" đưa đường (glucose) từ máu vào trong các tế bào. Tế bào sử dụng đường này để tạo ra năng lượng cho mọi hoạt động của cơ thể. Nói đơn giản, insulin giúp hạ và ổn định đường huyết sau khi chúng ta ăn.
Ở bệnh nhân đái tháo đường type 1, hệ miễn dịch của cơ thể bị lỗi, tự tấn công và phá hủy các tế bào sản xuất insulin trong tuyến tụy. Khi ""nhà máy sản xuất"" này bị phá hủy, cơ thể không thể tự tạo ra insulin được nữa, dẫn đến thiếu hụt insulin tuyệt đối."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0013,Cơ chế tự miễn ảnh hưởng thế nào đến tế bào beta tuyến tụy?,"Tế bào T và các thành phần miễn dịch tấn công đảo tụy, gây viêm (insulitis) và phá hủy chọn lọc tế bào beta; quá trình này được phản ánh qua sự xuất hiện của các tự kháng thể đặc hiệu.","Cơ chế tự miễn ảnh hưởng đến tế bào beta của tuyến tụy qua một quá trình tấn công ""nhầm lẫn"" và có hệ thống.
Bạn có thể hình dung hệ miễn dịch như một đội quân bảo vệ cơ thể. Tuy nhiên, ở đái tháo đường type 1, đội quân này lại nhận diện nhầm các tế bào beta (tế bào sản xuất insulin) là kẻ thù.
Quá trình này diễn ra như sau: các tế bào miễn dịch, đặc biệt là tế bào lympho T, được ""huấn luyện"" để tấn công và tiêu diệt tế bào beta. Chúng xâm nhập vào tuyến tụy, gây ra một phản ứng viêm tại chỗ và dần dần phá hủy các tế bào beta. Quá trình này diễn ra âm thầm trong nhiều tháng, thậm chí nhiều năm, cho đến khi phần lớn tế bào beta bị phá hủy và cơ thể không còn khả năng sản xuất đủ insulin."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0014,Ai có nguy cơ cao bị đái tháo đường type 1?,"Người có thân nhân bậc một mắc bệnh, người mang kiểu gen HLA nguy cơ, hoặc có bệnh tự miễn khác; nguy cơ suốt đời vẫn thấp ở dân số chung nhưng cao hơn đáng kể trong các nhóm này.","Mặc dù đái tháo đường type 1 có thể xảy ra ở bất kỳ ai, một số nhóm người có nguy cơ mắc bệnh cao hơn. Các yếu tố chính bao gồm:
+ Tiền sử gia đình: Nguy cơ sẽ cao hơn nếu bạn có cha, mẹ hoặc anh chị em ruột mắc bệnh đái tháo đường type 1.
+ Yếu tố di truyền: Sự hiện diện của một số gen nhất định trong cơ thể làm tăng tính nhạy cảm với phản ứng tự miễn dịch tấn công tuyến tụy.
+ Độ tuổi: Bệnh thường được chẩn đoán nhiều nhất ở trẻ em và thanh thiếu niên (độ tuổi từ 4-14), mặc dù người lớn vẫn có thể mắc bệnh.
+ Yếu tố môi trường: Mặc dù chưa được chứng minh rõ ràng, các nhà khoa học tin rằng việc tiếp xúc với một số loại virus có thể kích hoạt bệnh ở những người có sẵn yếu tố di truyền."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0015,Tại sao trẻ em và thanh thiếu niên thường mắc type 1 hơn?,"Ở nhóm tuổi này, đáp ứng tự miễn thường diễn tiến nhanh hơn, dẫn đến mất chức năng tế bào beta trong thời gian ngắn; biểu hiện lâm sàng vì thế rầm rộ và dễ vào DKA khi chẩn đoán muộn.","Hiện tại, giả thuyết được chấp nhận rộng rãi nhất cho rằng trẻ em và thanh thiếu niên là giai đoạn hệ miễn dịch còn đang phát triển và hoàn thiện. Chính trong giai đoạn này, hệ miễn dịch dễ bị ""lập trình sai"", đặc biệt sau khi tiếp xúc với một số yếu tố môi trường như virus. Sự kết hợp giữa một cơ địa di truyền nhạy cảm và một tác nhân kích hoạt từ môi trường có thể khởi phát phản ứng tự miễn phá hủy tế bào beta.
Ngoài ra, những thay đổi lớn về hormone trong giai đoạn dậy thì cũng được cho là có thể tạo thêm ""căng thẳng"" cho tuyến tụy và góp phần làm bệnh bộc phát nhanh hơn."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0016,Người lớn tuổi có thể bị đái tháo đường type 1 không?,"Có; ở người lớn, type 1 thường diễn tiến chậm (LADA) nên dễ bị chẩn đoán nhầm là type 2; xét nghiệm tự kháng thể và C-peptide giúp phân biệt và lựa chọn điều trị phù hợp.","Người lớn tuổi hoàn toàn có thể bị đái tháo đường type 1.
Mặc dù bệnh thường được chẩn đoán ở trẻ em và thanh thiếu niên, nó có thể khởi phát ở bất kỳ độ tuổi nào. Khi đái tháo đường type 1 xuất hiện ở người trưởng thành, nó thường tiến triển chậm hơn so với ở trẻ em.
Dạng bệnh này đôi khi được gọi là LADA (đái tháo đường tự miễn tiềm ẩn ở người lớn). Do triệu chứng ban đầu không rầm rộ và khởi phát muộn, nhiều người lớn bị LADA thường bị chẩn đoán nhầm là đái tháo đường type 2. Chỉ đến khi các loại thuốc uống không còn hiệu quả và cần phải dùng insulin, chẩn đoán mới được xem xét lại một cách chính xác."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0017,"Khi bị type 1, cơ thể có biểu hiện gì bất thường?","Ngoài bộ ba khát nhiều – tiểu nhiều – ăn nhiều, có sụt cân nhanh, mệt, nhìn mờ; khi nặng có đau bụng, nôn, thở nhanh sâu do DKA; các triệu chứng thường xuất hiện trong vài tuần gần chẩn đoán.","Khi bị đái tháo đường type 1, cơ thể sẽ có những biểu hiện bất thường khá rõ rệt do lượng đường trong máu tăng cao và tế bào bị ""đói"" năng lượng.
Các dấu hiệu phổ biến nhất thường xuất hiện đột ngột và bao gồm ""4 nhiều"":
+ Uống nhiều: Cảm thấy khát nước liên tục, không dứt.
+ Tiểu nhiều: Đi tiểu thường xuyên hơn bình thường, kể cả vào ban đêm.
+ Ăn nhiều: Luôn cảm thấy đói cồn cào dù đã ăn.
+ Gầy nhiều: Sụt cân nhanh chóng không rõ lý do.
Ngoài ra, người bệnh còn có thể cảm thấy mệt mỏi kiệt sức, nhìn mờ, và vết thương lâu lành. Nếu tình trạng nặng hơn, hơi thở có thể có mùi trái cây (mùi ceton)."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0018,Tại sao bệnh nhân type 1 thường khát nước và đi tiểu nhiều?,"Đường huyết cao gây lợi niệu thẩm thấu, kéo nước ra theo glucose qua thận, làm tiểu nhiều; mất nước dẫn đến khát nhiều; đồng thời nhìn mờ do thay đổi thấu kính khi đường huyết tăng.","Hai triệu chứng này có mối liên hệ trực tiếp với nhau và đều bắt nguồn từ việc lượng đường trong máu quá cao.
Cơ thể chúng ta có cơ chế tự nhiên để loại bỏ lượng đường thừa qua thận. Khi đường trong máu tăng cao, thận phải làm việc cật lực để lọc và thải đường ra ngoài qua nước tiểu. Tuy nhiên, khi thải đường, thận cũng ""kéo"" theo một lượng nước rất lớn từ cơ thể. Điều này khiến bạn phải đi tiểu nhiều lần và với lượng nước tiểu lớn hơn bình thường.
Việc đi tiểu liên tục làm cơ thể bị mất nước, dẫn đến tình trạng mất nước và khô miệng. Để bù lại lượng nước đã mất, cơ thể sẽ phát tín hiệu khát nước dữ dội, khiến bạn lúc nào cũng muốn uống nước."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0019,Nhiễm virus có thể dẫn tới đái tháo đường type 1 như thế nào?,"Một số nhiễm virus được cho là kích hoạt đáp ứng miễn dịch ở người có nền tảng di truyền nhạy cảm (cơ chế “bắt chước phân tử”), từ đó tấn công nhầm vào tế bào beta; không phải mọi trường hợp nhiễm virus đều gây bệnh.","Nhiễm virus được xem là một trong những yếu tố môi trường có thể ""kích hoạt"" đái tháo đường type 1 ở những người có sẵn yếu tố di truyền. Cơ chế này được giải thích theo hai giả thuyết chính:
+ ""Nhận nhầm đối tượng"" (Molecular Mimicry): Một số protein trên bề mặt của virus trông rất giống với protein của tế bào beta trong tuyến tụy. Khi hệ miễn dịch tạo ra ""vũ khí"" để tấn công virus, nó có thể bị nhầm lẫn và tấn công luôn cả tế bào beta vì chúng quá giống nhau.
+ Tổn thương gián tiếp: Khi virus tấn công, hệ miễn dịch sẽ tạo ra một phản ứng viêm mạnh mẽ để tiêu diệt virus. Đôi khi, phản ứng viêm này có thể vô tình làm tổn thương và phá hủy các tế bào beta ở gần đó."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0020,Bác sĩ dựa vào những xét nghiệm nào để xác định type 1?,"Gồm đường huyết lúc đói, nghiệm pháp dung nạp glucose, HbA1c để chẩn đoán đái tháo đường; tự kháng thể (GAD, IA-2, ZnT8, IAA) và C-peptide thấp giúp khẳng định cơ chế tự miễn và thiếu insulin.","Để xác định một người có mắc đái tháo đường type 1 hay không, bác sĩ thường cần thực hiện hai bước xét nghiệm:

Bước 1: Xác nhận có bị đái tháo đường không.
Bác sĩ sẽ dùng các xét nghiệm máu để đo lượng đường huyết, bao gồm:
+ Đường huyết lúc đói (nhịn ăn 8 tiếng).
+ Đường huyết ngẫu nhiên (đo bất kỳ lúc nào).
+ Xét nghiệm HbA1c (đo đường huyết trung bình 3 tháng).

Bước 2: Phân biệt đây là type 1 hay type 2.
Đây là bước quan trọng. Bác sĩ sẽ chỉ định các xét nghiệm chuyên sâu hơn như:
+ Xét nghiệm tự kháng thể: Tìm kiếm các kháng thể đang tấn công tế bào beta. Nếu có, đây là dấu hiệu mạnh của type 1.
+ Xét nghiệm C-peptide: Đo lường lượng insulin mà cơ thể tự sản xuất. Mức rất thấp hoặc không có cho thấy đây là type 1."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0021,Khác nhau giữa type 1 và type 2 là gì?,"Type 1 là thiếu insulin tuyệt đối do tự miễn, thường ở người trẻ và khởi phát nhanh; type 2 là đề kháng insulin kèm suy giảm tiết tương đối, thường liên quan tuổi lớn và yếu tố lối sống; tuy nhiên có vùng chồng lấp nên cần xét nghiệm hỗ trợ.","Sự khác nhau chính giữa type 1 và type 2 nằm ở nguyên nhân và cách cơ thể xử lý insulin.
+ Đái tháo đường type 1: Là bệnh tự miễn, do hệ miễn dịch tấn công và phá hủy tế bào sản xuất insulin. Cơ thể gần như không sản xuất ra insulin. Bệnh thường khởi phát ở người trẻ và bắt buộc phải điều trị bằng insulin từ đầu.
+ Đái tháo đường type 2: Không phải bệnh tự miễn. Cơ thể vẫn sản xuất được insulin, nhưng các tế bào lại sử dụng insulin không hiệu quả (gọi là đề kháng insulin). Bệnh thường liên quan đến lối sống, cân nặng và hay gặp ở người lớn tuổi. Ban đầu có thể điều trị bằng thuốc uống và thay đổi lối sống."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0022,LADA diễn tiến chậm như thế nào?,"Tổn thương tự miễn tiến triển từ từ trong nhiều tháng đến vài năm; ban đầu có thể kiểm soát bằng thay đổi lối sống hoặc thuốc uống, nhưng dần suy kiệt tế bào beta và cần insulin để đạt kiểm soát bền vững.","LADA diễn tiến chậm hơn đáng kể so với đái tháo đường type 1 cổ điển ở trẻ em. Sự chậm rãi này thể hiện ở quá trình phá hủy tế bào beta và nhu cầu sử dụng insulin.

Ở type 1 thông thường, các tế bào beta bị phá hủy rất nhanh chóng, thường trong vài tuần đến vài tháng, khiến bệnh nhân phải phụ thuộc vào insulin ngay lập tức.

Ngược lại, ở LADA, quá trình tự miễn dịch diễn ra từ từ và âm thầm hơn. Tuyến tụy vẫn có thể sản xuất một lượng insulin nhất định trong một thời gian dài sau khi được chẩn đoán. Giai đoạn này có thể kéo dài từ 6 tháng đến vài năm. Trong thời gian đầu, người bệnh LADA thậm chí có thể kiểm soát đường huyết chỉ bằng thay đổi lối sống hoặc thuốc uống, tương tự như type 2, sau đó dần suy kiệt tế bào beta và cần insulin để đạt kiểm soát bền vững"
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0023,"Nếu không điều trị, type 1 có thể gây biến chứng gì?","Trước mắt là DKA đe dọa tính mạng; lâu dài, kiểm soát kém làm tăng nguy cơ biến chứng mạch máu nhỏ (mắt, thận, thần kinh) và mạch máu lớn (tim mạch, đột quỵ); phát hiện sớm và dùng insulin đúng là then chốt.","Nếu không được điều trị bằng insulin, đái tháo đường type 1 sẽ gây ra những biến chứng rất nghiêm trọng, đe dọa trực tiếp đến tính mạng.

Biến chứng cấp tính (xảy ra nhanh):
Nguy hiểm nhất là nhiễm toan ceton (DKA). Khi cơ thể không có insulin, nó sẽ đốt cháy chất béo để tạo năng lượng, sinh ra axit gọi là ceton. Tình trạng này tích tụ sẽ làm máu bị nhiễm độc, dẫn đến hôn mê và có thể tử vong nếu không được cấp cứu kịp thời.

Biến chứng mạn tính (xảy ra từ từ):
Lượng đường trong máu cao kéo dài sẽ từ từ phá hủy các mạch máu và dây thần kinh khắp cơ thể, gây ra các tổn thương nặng nề ở:
+ Mắt: Gây mù lòa.
+ Thận: Gây suy thận.
+ Tim mạch: Tăng nguy cơ đau tim, đột quỵ.
+ Thần kinh: Gây tê bì, mất cảm giác, đặc biệt là ở chân."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0024,Nhiễm toan ceton nguy hiểm thế nào?,"Gây mất nước nặng, rối loạn điện giải, toan chuyển hóa, có thể dẫn tới phù não (đặc biệt ở trẻ) và tử vong nếu không xử trí; điều trị cần truyền dịch, insulin tĩnh mạch và theo dõi sát tại cơ sở y tế.","Nhiễm toan ceton (DKA) là một trong những biến chứng cấp tính nguy hiểm nhất của đái tháo đường và được xem là một tình trạng cấp cứu y tế.

Mức độ nguy hiểm của nó thể hiện ở chỗ:
+ Mất nước và rối loạn điện giải nghiêm trọng: Lượng đường và ceton cao trong máu kéo theo rất nhiều nước ra khỏi cơ thể qua đường tiểu, gây mất nước nặng. Điều này làm rối loạn các chất khoáng thiết yếu (như kali), ảnh hưởng trực tiếp đến hoạt động của tim và não.
+ Máu bị nhiễm axit nặng: Sự tích tụ của ceton làm thay đổi độ pH của máu, khiến máu trở nên quá axit. Tình trạng này làm suy giảm chức năng của các cơ quan nội tạng quan trọng.
+ Phù não: Đây là biến chứng hiếm gặp nhưng cực kỳ nguy hiểm, có thể gây tổn thương não vĩnh viễn hoặc tử vong.

Nếu không được cấp cứu và điều trị kịp thời, nhiễm toan ceton có thể dẫn đến hôn mê và tử vong."
BỆNH LÝ ĐTĐ,ĐTĐ Type 1,Q0025,Xét nghiệm kháng thể tự miễn có ý nghĩa gì?,"Giúp xác nhận bệnh sinh tự miễn và phân biệt với type 2 hoặc các thể đái tháo đường khác; thường xét nghiệm GAD và kết hợp thêm IA-2, ZnT8, IAA để tăng độ nhạy, nhất là ở người lớn nghi ngờ LADA.","Ý nghĩa của xét nghiệm kháng thể tự miễn là:

+ Chẩn đoán xác định: Nếu một người có đường huyết cao và kết quả xét nghiệm dương tính với một hoặc nhiều kháng thể này, chẩn đoán đái tháo đường type 1 gần như là chắc chắn.
+ Phân biệt với type 2: Bệnh nhân đái tháo đường type 2 không có các kháng thể này. Do đó, xét nghiệm giúp phân biệt rõ ràng hai thể bệnh, đặc biệt là ở người lớn tuổi, tránh chẩn đoán nhầm."
