DEMUC,CHUDECON,STT,CAUHOI,CAUTRALOI
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0011,Lứa tuổi thường gặp ĐTĐ type 1 có đặc điểm gì về sức khỏe răng miệng?,"Trẻ em, thanh thiếu niên – thường khó duy trì vệ sinh miệng tốt, dễ sâu răng và viêm lợi, đặc biệt khi đường huyết kém kiểm soát."
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0012,Trẻ em hay người lớn dễ mắc hơn và ảnh hưởng ra sao đến điều trị nha khoa?,"Trẻ em và thanh thiếu niên mắc nhiều hơn → cần kế hoạch điều trị nhẹ nhàng, tránh stress, và quản lý đường huyết chặt chẽ."
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0013,LADA là gì và tại sao bác sĩ RHM cần biết?,LADA là dạng ĐTĐ type 1 khởi phát chậm ở người lớn. Dễ bị chẩn đoán nhầm là type 2 → bác sĩ RHM cần lưu ý khi điều trị bệnh nhân lớn tuổi nhưng đường huyết khó kiểm soát.
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0014,"Bệnh có thể tiến triển chậm ở người lớn tuổi, điều này ảnh hưởng gì tới điều trị nha chu?",Giai đoạn đầu có thể không có triệu chứng rõ → cần tầm soát đường huyết trước khi thực hiện thủ thuật nha khoa lớn.
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0015,ĐTĐ type 1 có thể khởi phát đột ngột không và cần lưu ý gì khi tiếp nhận cấp cứu nha khoa?,"Có, và có thể kèm tăng đường huyết hoặc nhiễm toan ceton. Bác sĩ RHM cần nhận biết triệu chứng và chuyển viện kịp thời."
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0016,Các triệu chứng toàn thân của ĐTĐ type 1 có thể gợi ý gì trong thăm khám răng miệng?,"Khát nước, tiểu nhiều, sụt cân, mệt mỏi, nhìn mờ → nếu thấy cùng với viêm nha chu tiến triển nhanh, cần nghi ngờ ĐTĐ."
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0017,Vì sao bệnh nhân ĐTĐ type 1 hay khát nước và tiểu nhiều? Điều này ảnh hưởng gì tới niêm mạc miệng?,"Mất nước do tiểu nhiều gây khô miệng, giảm tiết nước bọt, làm tăng nguy cơ sâu răng và viêm niêm mạc."
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0018,Sụt cân bất thường ở bệnh nhân ĐTĐ type 1 có ảnh hưởng gì tới điều trị nha khoa?,"Thể trạng yếu, sức đề kháng giảm, lành thương chậm → cần chọn phương pháp điều trị ít xâm lấn, thời gian ngắn."
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0019,ĐTĐ type 1 có thể gây mờ mắt – điều này tác động gì tới hướng dẫn vệ sinh miệng?,"Bệnh nhân khó nhìn rõ khi chải răng, cần hướng dẫn kỹ thuật phù hợp và có thể đề nghị dụng cụ hỗ trợ."
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0020,Mệt mỏi kéo dài ở bệnh nhân ĐTĐ type 1 ảnh hưởng thế nào tới điều trị nha khoa?,Bệnh nhân dễ mệt khi nằm lâu trên ghế nha → cần chia nhỏ buổi điều trị và theo dõi đường huyết sát.
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0021,Nhiễm toan ceton là gì và bác sĩ RHM cần nhận biết khi nào?,"Biến chứng cấp nguy hiểm do thiếu insulin, gây buồn nôn, thở nhanh, hơi thở mùi trái cây → nếu gặp, cần ngừng điều trị và chuyển viện ngay."
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0022,Vì sao thiếu insulin lại gây nhiễm toan ceton và có thể xuất hiện khi nào trong nha khoa?,"Do cơ thể đốt mỡ tạo ceton. Có thể xuất hiện khi bệnh nhân bị stress, nhiễm trùng răng miệng hoặc không dùng đủ insulin trước thủ thuật."
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0023,"Nếu không điều trị, ĐTĐ type 1 gây biến chứng nào ảnh hưởng tới khoang miệng?","Tăng nguy cơ bệnh nha chu nặng, nhiễm nấm Candida, khô miệng, loét niêm mạc."
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0024,Các xét nghiệm chẩn đoán ĐTĐ type 1 có ý nghĩa gì với bác sĩ RHM?,"Đường huyết lúc đói, HbA1c, dung nạp glucose, kháng thể tự miễn → giúp đánh giá kiểm soát đường huyết và lên kế hoạch điều trị nha khoa an toàn."
BỆNH LÝ ĐTĐ,ĐTĐ type 1,Q0025,HbA1c phản ánh điều gì và liên quan thế nào tới nguy cơ biến chứng răng miệng?,HbA1c cho biết mức đường huyết trung bình 2–3 tháng. Giá trị cao liên quan tới nguy cơ viêm nha chu nặng và lành thương chậm.
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0026,Đái tháo đường type 2 là gì và chiếm tỷ lệ bao nhiêu trong các ca ĐTĐ?,"ĐTĐ type 2 là dạng chiếm 90–95% các ca ĐTĐ, trước đây gọi là “ĐTĐ người lớn” hoặc “không phụ thuộc insulin”, đặc trưng bởi đề kháng insulin và thiếu insulin tương đối."
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0027,Điểm khác biệt chính giữa ĐTĐ type 1 và type 2 là gì về cơ chế bệnh sinh?,"ĐTĐ type 2 không có phá hủy tế bào beta do tự miễn, không có kháng thể tự miễn; bệnh nhân vẫn sản xuất insulin nhưng kém hiệu quả do đề kháng insulin."
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0028,Đề kháng insulin là gì và ảnh hưởng ra sao tới mô nha chu?,"Đề kháng insulin làm tăng phản ứng viêm toàn thân, bao gồm viêm nha chu, và giảm khả năng lành thương sau điều trị nha khoa."
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0029,"Béo phì, đặc biệt béo bụng, liên quan thế nào tới nguy cơ bệnh nha chu?","Mô mỡ tiết ra hormon và cytokine làm giảm tác dụng của insulin, tăng viêm, từ đó làm nặng bệnh nha chu."
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0030,"Ở giai đoạn đầu, tế bào beta bù trừ bằng cách nào?","Chúng tăng tiết insulin để bù đề kháng insulin; nhưng khi suy giảm, đường huyết tăng, ảnh hưởng tiêu cực tới sức khỏe răng miệng."
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0031,Đề kháng insulin có thể hồi phục hoàn toàn không?,"Không hoàn toàn; có thể cải thiện khi giảm cân hoặc dùng thuốc, nhưng vẫn cần kiểm soát nguy cơ răng miệng suốt đời."
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0032,Những yếu tố nguy cơ của ĐTĐ type 2 mà bác sĩ RHM cần lưu ý khi khai thác bệnh sử là gì?,"Thừa cân/béo phì, béo bụng, ít vận động, tiền sử gia đình, chế độ ăn nhiều đường và chất béo bão hòa."
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0033,ĐTĐ type 2 có thể gặp ở người trẻ không?,"Có, đặc biệt ở người trẻ béo phì, ít vận động; đây là nhóm có nguy cơ viêm nha chu sớm và nặng."
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0034,Tại sao bệnh nhân ĐTĐ type 2 thường kèm viêm nha chu?,"Tăng đường huyết và đề kháng insulin làm tăng viêm, thay đổi vi hệ vi khuẩn miệng và giảm khả năng lành thương mô nha chu."
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0035,ĐTĐ type 2 ảnh hưởng thế nào đến kết quả điều trị nha chu?,Kiểm soát đường huyết kém liên quan đến đáp ứng điều trị nha chu thấp hơn và nguy cơ tái phát cao hơn.
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0036,Khi nào bệnh nhân ĐTĐ type 2 cần dùng insulin?,Khi kiểm soát đường huyết bằng thuốc uống không hiệu quả hoặc có biến chứng cấp/mạn; bác sĩ RHM cần biết để điều chỉnh lịch hẹn phù hợp.
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0037,Những chỉ số đường huyết nào bác sĩ RHM cần lưu ý trước thủ thuật?,"Đường huyết lúc đói, đường huyết sau ăn, HbA1c – để đánh giá nguy cơ chảy máu, nhiễm trùng và lành thương."
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0038,Ngưỡng đường huyết an toàn để nhổ răng ở bệnh nhân ĐTĐ type 2 là bao nhiêu?,"Theo khuyến cáo, đường huyết nên <180 mg/dL trước thủ thuật; xem bảng hướng dẫn cụ thể kèm theo."
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0039,Ngưỡng đường huyết để thực hiện điều trị không phẫu thuật nha chu là bao nhiêu?,Có thể tiến hành nếu đường huyết <200 mg/dL và bệnh nhân không có triệu chứng cấp.
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0040,Ngưỡng đường huyết để thực hiện phẫu thuật lật vạt nha chu là bao nhiêu?,"Khuyến cáo <180 mg/dL, HbA1c <7%, và bệnh nhân ổn định về y khoa."
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0041,Vì sao cần cân nhắc kỹ trước khi làm thủ thuật xâm lấn ở bệnh nhân ĐTĐ type 2?,"Vì nguy cơ nhiễm trùng, chậm lành thương và biến chứng toàn thân cao hơn khi đường huyết kém kiểm soát."
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0042,ĐTĐ type 2 ảnh hưởng thế nào tới phản ứng viêm trong khoang miệng?,"Tăng sản xuất cytokine viêm, làm phá hủy mô liên kết và xương ổ răng nhanh hơn."
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0043,Bệnh nhân ĐTĐ type 2 có nguy cơ nhiễm trùng sau điều trị nha khoa cao hơn không?,"Có, đặc biệt nếu đường huyết >200 mg/dL hoặc có biến chứng vi mạch."
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0044,HbA1c có ý nghĩa gì đối với bác sĩ RHM?,Cho biết kiểm soát đường huyết trung bình 2–3 tháng; HbA1c cao liên quan tới nguy cơ viêm nha chu nặng và lành thương kém.
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0045,"Nếu HbA1c của bệnh nhân >8%, bác sĩ RHM nên làm gì?","Trì hoãn thủ thuật xâm lấn, phối hợp với bác sĩ nội tiết để tối ưu kiểm soát đường huyết trước điều trị."
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0046,"Khi điều trị nha chu ở bệnh nhân ĐTĐ type 2, cần phối hợp liên chuyên khoa như thế nào?","Trao đổi với bác sĩ nội tiết về tình trạng đường huyết, điều chỉnh thuốc, và lịch hẹn phù hợp."
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0047,Những lưu ý khi kê đơn kháng sinh cho bệnh nhân ĐTĐ type 2 là gì?,"Chọn kháng sinh phù hợp chức năng thận, tránh thuốc gây tương tác với thuốc hạ đường huyết."
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0048,ĐTĐ type 2 kiểm soát kém có thể gây biến chứng miệng nào khác ngoài viêm nha chu?,"Nhiễm nấm Candida, khô miệng, viêm niêm mạc, loét lâu lành."
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0049,Giảm cân có tác động thế nào đến sức khỏe răng miệng ở bệnh nhân ĐTĐ type 2?,"Giảm cân giúp cải thiện đề kháng insulin, giảm viêm toàn thân và cải thiện đáp ứng điều trị nha chu."
BỆNH LÝ ĐTĐ,ĐTĐ type 2,Q0050,Vai trò của bác sĩ RHM trong quản lý bệnh nhân ĐTĐ type 2 là gì?,"Phát hiện sớm dấu hiệu nghi ngờ, điều trị và kiểm soát bệnh nha chu, giáo dục bệnh nhân về mối liên hệ ĐTĐ – sức khỏe răng miệng, và phối hợp điều trị với chuyên khoa nội tiết."
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0051,Đái tháo đường thai kỳ là gì?,"Là tình trạng tăng đường huyết được chẩn đoán trong 3 tháng giữa hoặc cuối thai kỳ, không có bằng chứng ĐTĐ type 1 hoặc type 2 trước đó."
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0052,Nếu phát hiện tăng đường huyết ở 3 tháng đầu thai kỳ thì chẩn đoán thế nào?,"Khi phát hiện ở 3 tháng đầu, cần nghĩ tới ĐTĐ chưa được chẩn đoán từ trước và dùng tiêu chí chẩn đoán của người không mang thai."
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0053,ĐTĐ thai kỳ ảnh hưởng gì đến sức khỏe răng miệng?,"Làm tăng nguy cơ viêm nha chu, nhiễm trùng miệng và chậm lành thương do tăng đường huyết."
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0054,Thai phụ mắc ĐTĐTK có nguy cơ viêm nha chu cao hơn vì sao?,Tăng đường huyết và thay đổi hormon thai kỳ làm tăng phản ứng viêm tại mô nha chu.
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0055,Thời điểm nào là an toàn nhất để thực hiện thủ thuật nha khoa ở thai phụ ĐTĐTK?,Tam cá nguyệt thứ 2 (tuần 14–28) là thời điểm an toàn và thuận lợi nhất.
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0056,Vì sao nên tránh thủ thuật nha khoa trong 3 tháng đầu thai kỳ?,Vì nguy cơ sảy thai cao hơn và giai đoạn này bào thai đang hình thành cơ quan quan trọng.
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0057,Vì sao nên tránh thủ thuật nha khoa trong 3 tháng cuối thai kỳ?,Nguy cơ sinh non cao hơn và thai phụ dễ khó chịu khi nằm lâu.
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0058,Bác sĩ RHM cần phối hợp với chuyên khoa nào khi điều trị thai phụ ĐTĐTK?,"Luôn phối hợp với bác sĩ sản khoa và bác sĩ nội tiết, nhất là khi can thiệp xâm lấn."
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0059,Thai phụ ĐTĐTK có nên nhịn đói trước thủ thuật không?,Không nên; cần ăn nhẹ trước thủ thuật để tránh hạ đường huyết thai kỳ.
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0060,Những chỉ số đường huyết nào cần lưu ý trước khi nhổ răng ở bệnh nhân ĐTĐTK?,Đường huyết nên nằm trong ngưỡng an toàn theo bảng khuyến cáo (tham khảo bảng đính kèm).
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0061,Ngưỡng đường huyết an toàn để điều trị nha chu không phẫu thuật ở bệnh nhân ĐTĐTK là bao nhiêu?,Có thể tiến hành nếu đường huyết được kiểm soát ổn định theo khuyến cáo.
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0062,Ngưỡng đường huyết an toàn để thực hiện phẫu thuật lật vạt ở bệnh nhân ĐTĐTK là bao nhiêu?,Nên thực hiện khi đường huyết trong giới hạn an toàn và ở tam cá nguyệt thứ 2.
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0063,Vì sao cần thận trọng với thuốc tê có epinephrine khi điều trị thai phụ ĐTĐTK?,"Epinephrine có thể gây co mạch tử cung, ảnh hưởng tuần hoàn thai nhi nếu dùng liều cao hoặc tiêm sai kỹ thuật."
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0064,Những kháng sinh nào an toàn cho thai phụ ĐTĐTK?,"Penicillin, amoxicillin, clindamycin thường an toàn (tham khảo bảng mức độ nguy cơ)."
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0065,Những kháng sinh nào cần tránh ở thai phụ ĐTĐTK?,"Tetracycline, doxycycline, và một số fluoroquinolone vì có thể gây ảnh hưởng xương và răng thai nhi."
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0066,"Vì sao cần tránh dùng NSAIDs ở thai phụ ĐTĐTK, đặc biệt là 3 tháng cuối?",NSAIDs có thể gây đóng ống động mạch sớm ở thai nhi và biến chứng sản khoa.
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0067,Thuốc giảm đau nào an toàn hơn cho thai phụ ĐTĐTK?,Paracetamol là lựa chọn an toàn nếu dùng đúng liều.
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0068,Khi nào bác sĩ RHM cần hoãn điều trị cho thai phụ ĐTĐTK?,Khi đường huyết không kiểm soát hoặc thai kỳ chưa ổn định về sản khoa.
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0069,Thai phụ ĐTĐTK có nguy cơ nhiễm trùng sau điều trị nha khoa cao hơn không?,"Có, do tăng đường huyết ảnh hưởng chức năng bạch cầu và phản ứng miễn dịch."
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0070,HbA1c có ý nghĩa gì ở thai phụ ĐTĐTK?,"Dù ít được dùng trong chẩn đoán, HbA1c giúp đánh giá mức kiểm soát đường huyết trong thời gian dài."
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0071,Vì sao kiểm soát đường huyết tốt trong thai kỳ quan trọng với sức khỏe răng miệng?,"Giúp giảm viêm nha chu, giảm nguy cơ nhiễm trùng và cải thiện lành thương."
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0072,Bác sĩ RHM nên lưu ý gì về tư thế bệnh nhân mang thai trên ghế nha?,"Tránh nằm ngửa lâu, đặc biệt ở tam cá nguyệt cuối, để không chèn ép tĩnh mạch chủ dưới."
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0073,Viêm nha chu ở thai phụ ĐTĐTK có liên quan tới biến chứng thai kỳ nào không?,"Có, nghiên cứu cho thấy liên quan tới sinh non, trẻ nhẹ cân."
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0074,Thai phụ ĐTĐTK có cần chăm sóc răng miệng đặc biệt không?,"Cần duy trì vệ sinh răng miệng tốt, khám nha định kỳ và điều trị sớm các bệnh lý nha khoa."
BỆNH LÝ ĐTĐ,ĐTĐ thai kỳ,Q0075,Vai trò của bác sĩ RHM trong quản lý thai phụ ĐTĐTK là gì?,"Sàng lọc, phát hiện sớm vấn đề răng miệng, điều trị an toàn, phối hợp với sản khoa – nội tiết, và tư vấn chăm sóc răng miệng suốt thai kỳ."
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0076,Biến chứng cấp tính trong bệnh đái tháo đường là gì?,"Là các tình trạng khởi phát nhanh, đe dọa tính mạng như nhiễm toan ceton, tăng áp lực thẩm thấu và hạ đường huyết."
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0077,Nhiễm toan ceton là gì và có biểu hiện ra sao?,"Tình trạng thiếu insulin nghiêm trọng làm tích tụ ceton trong máu gây toan hóa; triệu chứng: tiểu nhiều, khát nước, thở nhanh sâu, hơi thở mùi ceton, đau bụng, buồn nôn, nôn."
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0078,Tại sao bác sĩ RHM cần nhận biết nhiễm toan ceton?,"Vì bệnh nhân có thể đến khám nha trong tình trạng này; nếu không phát hiện và xử trí kịp thời, nguy cơ hôn mê, tử vong."
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0079,Tăng áp lực thẩm thấu là gì?,"Biến chứng do đường huyết tăng cao kéo dài nhưng không có nhiễm toan, thường gặp ở người lớn tuổi; gây mất nước nặng, rối loạn ý thức."
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0080,"Trong phòng khám RHM, tăng áp lực thẩm thấu có thể biểu hiện thế nào?","Bệnh nhân lú lẫn, mất tập trung, mất nước rõ; cần ngừng điều trị và chuyển cấp cứu."
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0081,Hạ đường huyết là gì và nguyên nhân thường gặp?,"Xảy ra khi đường huyết xuống thấp, thường do dùng quá liều insulin hoặc thuốc hạ đường huyết, bỏ bữa, gắng sức."
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0082,Dấu hiệu hạ đường huyết mà bác sĩ RHM cần lưu ý là gì?,"Đói, bồn chồn, vã mồ hôi, hoa mắt, tim đập nhanh; nặng có thể lú lẫn, co giật, hôn mê."
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0083,Xử trí ban đầu hạ đường huyết tại phòng khám nha như thế nào?,"Cho bệnh nhân uống dung dịch chứa đường nhanh (nước đường, nước trái cây), nếu không cải thiện → chuyển cấp cứu."
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0084,Biến chứng mạn tính của ĐTĐ gồm những nhóm nào?,"Biến chứng vi mạch, mạch máu lớn và biến chứng khác (như bàn chân ĐTĐ)."
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0085,Bệnh lý võng mạc ĐTĐ có ảnh hưởng gì tới điều trị nha khoa?,"Giảm thị lực làm khó khăn trong vệ sinh miệng, tăng nguy cơ bệnh nha chu và sâu răng."
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0086,Bệnh thận do ĐTĐ ảnh hưởng gì đến điều trị nha khoa?,"Cần điều chỉnh liều thuốc (kháng sinh, giảm đau) theo chức năng thận."
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0087,Bệnh thần kinh ĐTĐ tác động thế nào đến sức khỏe răng miệng?,"Giảm cảm giác đau ở niêm mạc và răng, làm bệnh nhân chậm phát hiện tổn thương, loét."
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0088,Bệnh mạch vành ảnh hưởng gì tới an toàn khi điều trị nha khoa?,"Tăng nguy cơ biến cố tim mạch khi làm thủ thuật; cần đánh giá trước điều trị, tránh gây stress."
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0089,Bệnh mạch máu não có liên quan gì đến điều trị nha khoa?,Tiền sử đột quỵ đòi hỏi thận trọng khi sử dụng thuốc tê có epinephrine và điều chỉnh tư thế ghế nha.
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0090,Bệnh mạch máu ngoại biên ảnh hưởng gì đến khoang miệng?,Giảm tuần hoàn máu toàn thân làm chậm lành thương sau phẫu thuật nha chu.
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0091,Bàn chân ĐTĐ có ý nghĩa gì với bác sĩ RHM?,Cho thấy bệnh nhân có biến chứng mạch máu và thần kinh nặng → nguy cơ cao biến chứng lành thương tại miệng.
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0092,Vì sao viêm nha chu được coi là biến chứng gián tiếp của ĐTĐ?,"Tăng đường huyết làm tăng viêm, giảm sức đề kháng, tạo điều kiện cho bệnh nha chu phát triển và tiến triển nhanh."
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0093,Biến chứng mạch máu nhỏ ở bệnh nhân ĐTĐ ảnh hưởng thế nào tới nha chu?,"Giảm tưới máu mô nha chu, giảm khả năng hồi phục sau điều trị."
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0094,Vì sao bệnh nhân ĐTĐ dễ nhiễm trùng miệng?,"Đường huyết cao làm suy yếu miễn dịch và tăng môi trường thuận lợi cho vi khuẩn, nấm phát triển."
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0095,Kiểm soát đường huyết tốt giúp gì cho phòng ngừa biến chứng nha khoa?,"Giảm nguy cơ viêm nha chu, nhiễm trùng và cải thiện lành thương sau điều trị."
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0096,"Ngoài đường huyết, yếu tố nào cần kiểm soát để phòng biến chứng ĐTĐ?","Huyết áp, lipid máu, cân nặng và lối sống lành mạnh."
BỆNH LÝ ĐTĐ,Biến chứng của bệnh lí ĐTĐ,Q0097,Bệnh nhân ĐTĐ có biến chứng mạn tính nên được hẹn điều trị nha khoa như thế nào?,"Hẹn ngắn, ít xâm lấn, theo dõi sát; phối hợp chuyên khoa nội tiết."
